  4q7s|A|2015-03-11|K|+3.1;
  4q7p|A|2015-03-11|K|+3.1;
  4q87|A|2015-03-11|K|+3.1;
  4wlr|A|2015-03-05|K|-5.2, -3.1, -3.1;
  4wlq|A|2015-03-05|K|-5.2, -3.1, -3.1;
  4wlp|A|2015-03-05|K|-5.2, -3.1, -3.1;
  4qk3|A|2015-03-04|K|+3.1;
  4qk2|A|2015-03-04|K|+3.1;
  4qk1|A|2015-03-04|K|+3.1;
  4uf6|A|2015-03-04|K|-5.2, -3.1, -3.1;
  4uf5|A|2015-03-04|K|-5.2, -3.1, -3.1;
  4uem|A|2015-03-04|K|-5.2, -3.1, -3.1;
  4uel|A|2015-03-04|K|-5.2, -3.1, -3.1;
  4q49|A|2015-02-25|K|+3.1;
  3x2d|A|2015-02-25|S|+3.1;
  4xix|A|2015-02-12|K|+3.1;
  4xiw|A|2015-02-12|K|+3.1;
  4rn4|A|2015-02-12|K|+3.1;
  4q0l|A|2015-02-12|K|+3.1;
  4q09|A|2015-02-12|K|+3.1;
  4pyy|A|2015-02-12|K|+3.1;
  4pzh|A|2015-02-12|K|+3.1;
  4q08|A|2015-02-12|K|+3.1;
  4q07|A|2015-02-12|K|+3.1;
  4q06|A|2015-02-12|K|+3.1;
  4pyx|A|2015-02-12|K|+3.1;
  4wsg|A|2015-02-12|S|+3.1;
  4qsi|A|2015-02-12|K|+3.1;
  4qsj|A|2015-02-12|K|+3.1;
  4q6d|A|2015-02-11|K|+3.1;
  4q6e|A|2015-02-11|K|+3.1;
  4qy3|A|2015-02-11|K|+3.1;
  4nwx|A|2015-02-11|S|+3.1;
  4nwj|A|2015-02-11|S|+3.1;
  4qsa|A|2015-02-11|K|+3.1;
  4qsb|A|2015-02-11|K|+3.1;
  4cnr|A|2015-02-10|K|+3.1;
  4cnw|A|2015-02-10|K|+3.1;
  4tzo|A|2015-02-10|S|+3.1;
  4ws9|A|2015-02-10|K|+3.1;
  4wgv|A|2015-02-09|S|+3.1, +3.1;
  4wgw|A|2015-02-09|S|+3.1, +3.1;
  4cbp|A|2015-02-08|S|-3.1;
  4rg1|A|2015-02-07|K|+3.1;
  4riv|A|2015-02-05|K|+3.1;
  4riu|A|2015-02-05|K|+3.1;
  1wog|A|2015-02-05|S|+3.1;
  4x2s|A|2015-02-05|S|+3.1;
  4cnx|A|2015-02-04|K|+3.1;
  4cnv|A|2015-02-04|K|+3.1;
  4r59|A|2014-10-20|K|+3.1;
  4r5a|A|2014-10-20|K|+3.1;
  4r5b|A|2014-10-20|K|+3.1;
  3j7y|5|2014-10-15|K|-3.1, -3.1, -3.1, -3.1;
  3j7y|s|2014-10-15|K|-3.1, -3.1, -3.1, -3.1;
  4tn0|A|2014-10-14|S|+3.1;
  4v1a|w|2014-10-13|K|-3.1, -3.1, -3.1, -3.1;
  4v1a|a|2014-10-13|K|-3.1, -3.1, -3.1, -3.1;
  1n2m|A|2014-10-11|S|+3.1;
  2qqd|C|2014-10-11|S|+3.1;
  4qef|A|2014-10-10|K|+3.1;
  4pq7|A|2014-10-09|K|+3.1;
  2xq2|B|2014-10-09|S|+3.1, 4.1, +3.1;
  2fg7|C|2014-10-08|K|+3.1;
  3s97|A|2014-10-08|K|+3.1;
  3kld|B|2014-10-08|K|+3.1;
  4etq|C|2014-10-08|K|+3.1;
  2v64|A|2014-10-08|S|+3.1;
  3bdg|B|2014-10-08|S|+3.1;
  1ki6|B|2014-10-08|S|+3.1;
  3gi9|C|2014-10-08|S|+3.1, 4.1, +3.1;
  3pzl|A|2014-10-08|S|+3.1, +3.1, +3.1;
  3niq|A|2014-10-08|S|+3.1, +3.1, +3.1;
  3nip|A|2014-10-08|S|+3.1, +3.1, +3.1;
  1woi|A|2014-10-08|S|+3.1, +3.1, +3.1;
  1gq6|A|2014-10-08|S|+3.1, +3.1, +3.1;
  1gq7|A|2014-10-08|S|+3.1, +3.1, +3.1;
  4aez|B|2014-10-08|S|+3.1;
  1woh|A|2014-10-08|S|+3.1;
  3wav|A|2014-10-07|S|+3.1;
  3waw|A|2014-10-07|S|+3.1;
  3wax|A|2014-10-07|S|+3.1;
  3way|A|2014-10-07|S|+3.1;
  2xrg|A|2014-10-07|S|+3.1;
  3nkm|A|2014-10-07|S|+3.1;
  3nko|A|2014-10-07|S|+3.1;
  3nkp|A|2014-10-07|S|+3.1;
  4q0j|A|2014-10-07|K|4.1, 4.1;
  1vlf|M|2014-10-07|S|+3.1;
  1vle|M|2014-10-07|S|+3.1;
  1ti2|A|2014-10-07|S|+3.1;
  1ti4|A|2014-10-07|S|+3.1;
  3nkr|A|2014-10-06|S|+3.1;
  4o8g|A|2014-10-01|K|4.1, 4.1;
  4djk|A|2014-09-29|S|+3.1, 4.1, +3.1;
  4dji|A|2014-09-29|S|+3.1, 4.1, +3.1;
  3csy|I|2014-09-29|S|+3.1;
  4us3|A|2014-09-28|S|+3.1, 4.1, +3.1;
  4us4|A|2014-09-28|S|+3.1, 4.1, +3.1;
  2m9q|A|2014-09-25|S|-3.1, -3.1, -3.1;
  2m9p|A|2014-09-25|S|-3.1, -3.1, -3.1;
  3v5s|A|2014-09-25|K|+3.1;
  4cng|A|2014-09-25|K|+3.1;
  4cnf|A|2014-09-25|K|+3.1;
  4cne|A|2014-09-25|K|+3.1;
  4cnd|A|2014-09-25|K|+3.1;
  4uop|A|2014-09-25|S|+3.1;
  4ig7|A|2014-09-23|K|-5.2, -3.1, -3.1;
  3s88|I|2014-09-23|S|+3.1;
  3ve0|I|2014-09-23|S|+3.1;
  4oye|A|2014-09-21|S|+3.1, +3.1;
  3nkn|A|2014-09-18|S|+3.1;
  4bv6|A|2014-09-17|S|-3.1;
  4j3c|A|2014-09-11|K|+3.1;
  1pgi|A|2014-09-11|S|+3.1;
  4uor|A|2014-09-03|S|+3.1;
  4uoo|A|2014-09-03|S|+3.1;
  2b9b|A|2014-08-31|S|+3.1;
  3cwo|X|2014-08-23|K|+3.1;
  3nou|C|2014-08-20|K|4.1, 4.1;
  3not|C|2014-08-20|K|4.1, 4.1;
  3nop|C|2014-08-20|K|4.1, 4.1;
  3oim|A|2014-08-20|K|+3.1;
  3oil|A|2014-08-20|K|+3.1;
  3oik|A|2014-08-20|K|+3.1;
  3oku|A|2014-08-20|K|+3.1;
  3oy0|A|2014-08-20|K|+3.1;
  3oys|A|2014-08-20|K|+3.1;
  3p3h|A|2014-08-20|K|+3.1;
  3p3j|A|2014-08-20|K|+3.1;
  3oyq|A|2014-08-20|K|+3.1;
  3p12|A|2014-08-20|S|+3.1;
  3ihr|A|2014-08-20|K|-5.2, -3.1, -3.1;
  3mmf|A|2014-08-19|K|+3.1;
  3nj9|A|2014-08-19|K|+3.1;
  3mna|A|2014-08-19|K|+3.1;
  3m2z|A|2014-08-19|K|+3.1;
  3m5s|A|2014-08-19|K|+3.1;
  3u3a|X|2014-08-19|K|+3.1;
  3v2j|A|2014-08-19|K|+3.1;
  3v2m|A|2014-08-19|K|+3.1;
  3v5g|A|2014-08-19|K|+3.1;
  3v7x|A|2014-08-19|K|+3.1;
  3m5t|A|2014-08-19|K|+3.1;
  3m2y|A|2014-08-19|K|+3.1;
  3m2x|A|2014-08-19|K|+3.1;
  3m1q|A|2014-08-19|K|+3.1;
  3m14|A|2014-08-19|K|+3.1;
  3m04|A|2014-08-19|K|+3.1;
  4n0x|B|2014-08-19|K|+3.1;
  4mty|A|2014-08-19|K|+3.1;
  4mo8|A|2014-08-19|K|+3.1;
  4mdg|A|2014-08-19|K|+3.1;
  4mdm|A|2014-08-19|K|+3.1;
  4mdl|A|2014-08-19|K|+3.1;
  4m2u|A|2014-08-19|K|+3.1;
  4m2r|A|2014-08-19|K|+3.1;
  4lp6|A|2014-08-19|K|+3.1;
  4knj|A|2014-08-19|K|+3.1;
  4kni|A|2014-08-19|K|+3.1;
  4jsw|A|2014-08-19|K|+3.1;
  4jss|A|2014-08-19|K|+3.1;
  4js6|A|2014-08-19|K|+3.1;
  4iwz|A|2014-08-19|K|+3.1;
  4ilx|A|2014-08-19|K|+3.1;
  4itp|A|2014-08-19|K|+3.1;
  4ito|A|2014-08-19|K|+3.1;
  4idr|X|2014-08-19|K|+3.1;
  4ht0|A|2014-08-19|K|+3.1;
  4hf3|A|2014-08-19|K|+3.1;
  4hez|A|2014-08-19|K|+3.1;
  4hey|A|2014-08-19|K|+3.1;
  4hew|A|2014-08-19|K|+3.1;
  4g0c|A|2014-08-19|K|+3.1;
  4fvo|A|2014-08-19|K|+3.1;
  4fvn|A|2014-08-19|K|+3.1;
  4fu5|A|2014-08-19|K|+3.1;
  4frc|A|2014-08-19|K|+3.1;
  4fpt|A|2014-08-19|K|+3.1;
  4fl7|A|2014-08-19|K|+3.1;
  4fik|A|2014-08-19|K|+3.1;
  3ni5|A|2014-08-19|K|+3.1;
  3nb5|A|2014-08-19|K|+3.1;
  3ml2|A|2014-08-19|K|+3.1;
  4e5q|A|2014-08-19|K|+3.1;
  4e4a|A|2014-08-19|K|+3.1;
  4e49|A|2014-08-19|K|+3.1;
  4e3h|A|2014-08-19|K|+3.1;
  4e3g|A|2014-08-19|K|+3.1;
  4e3f|A|2014-08-19|K|+3.1;
  4e3d|A|2014-08-19|K|+3.1;
  4dz9|A|2014-08-19|K|+3.1;
  4dz7|A|2014-08-19|K|+3.1;
  4cq0|A|2014-08-19|K|+3.1;
  4bf6|A|2014-08-19|K|+3.1;
  4bf1|A|2014-08-19|K|+3.1;
  4bcw|A|2014-08-19|K|+3.1;
  3zp9|A|2014-08-19|K|+3.1;
  3vbd|A|2014-08-19|K|+3.1;
  2ga3|A|2014-08-19|S|+3.1;
  4jby|A|2014-08-19|S|+3.1;
  4jbx|A|2014-08-19|S|+3.1;
  4ivr|A|2014-08-19|S|+3.1;
  4ivq|A|2014-08-19|S|+3.1;
  4ivp|A|2014-08-19|S|+3.1;
  3m8y|A|2014-08-19|S|+3.1;
  3m8w|A|2014-08-19|S|+3.1;
  4lrb|A|2014-08-19|S|+3.1;
  4lr9|A|2014-08-19|S|+3.1;
  4lra|A|2014-08-19|S|+3.1;
  4lr7|A|2014-08-19|S|+3.1;
  3uo0|A|2014-08-19|S|+3.1;
  3uny|A|2014-08-19|S|+3.1;
  3un2|A|2014-08-19|S|+3.1;
  4mme|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4mmd|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4mmc|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4mma|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4mm8|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4mm6|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4mm9|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4mm4|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4mm5|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4hmk|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4hod|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4fy0|A|2014-08-19|S|+3.1, 4.1, +3.1;
  3uso|A|2014-08-19|S|+3.1, 4.1, +3.1;
  3usp|A|2014-08-19|S|+3.1, 4.1, +3.1;
  3usm|A|2014-08-19|S|+3.1, 4.1, +3.1;
  3usk|A|2014-08-19|S|+3.1, 4.1, +3.1;
  3usl|A|2014-08-19|S|+3.1, 4.1, +3.1;
  3usi|A|2014-08-19|S|+3.1, 4.1, +3.1;
  3usj|A|2014-08-19|S|+3.1, 4.1, +3.1;
  3usg|A|2014-08-19|S|+3.1, 4.1, +3.1;
  3tt3|A|2014-08-19|S|+3.1, 4.1, +3.1;
  3tt1|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4jal|A|2014-08-19|K|+3.1;
  3mdz|A|2014-08-19|K|+3.1;
  2len|A|2014-08-19|K|-5.2, -3.1, -3.1;
  4mcc|A|2014-08-19|K|+3.1;
  4mcb|A|2014-08-19|K|+3.1;
  4l2z|A|2014-08-19|K|+3.1;
  4m8j|A|2014-08-19|S|+3.1, 4.1, +3.1;
  4k0b|A|2014-08-19|K|+3.1;
  4kp8|A|2014-08-19|K|+3.1;
  4knm|A|2014-08-19|K|+3.1;
  4kp5|A|2014-08-19|K|+3.1;
  3axz|A|2014-08-19|K|+3.1;
  4ig6|A|2014-08-19|K|+3.1;
  4hpv|A|2014-08-19|K|+3.1;
  4hu1|A|2014-08-19|K|+3.1;
  4h3y|A|2014-08-19|K|+3.1;
  3w6i|A|2014-08-19|K|+3.1;
  3w6h|A|2014-08-19|K|+3.1;
